"ProjectID","Date","Country","Project Title","Sector","Public/Private","Status","CostRONm","CostTLm","CostPLNm","CostRUBm","CostUSDm","CostEURm","Cost","URL","CostCurrEURm"
"11865",2005-05-12,"Bulgaria","Maritza East I Power Company","Power and energy","Private","S",NA,NA,NA,NA,NA,1050,"EUR 1,050 million.","http://www.ebrd.com/english/pages/project/psd/2005/11865.shtml",1241.1
"12413",2000-07-24,"Bosnia and Herzegovina","Electric Power Reconstruction Project","Power and energy","Public","S",NA,NA,NA,NA,NA,272,"
Approximately US$ 231 million (€272 million). 
","http://www.ebrd.com/english/pages/project/psd/2000/12413.shtml",358.181818181818
"1314",1996-10-15,"Ukraine","Starobeshevo Power Modernisation Project","Power and energy","Public","C",NA,NA,NA,NA,163.2,54.6207468352281,"US$ 163.20 million.","http://www.ebrd.com/english/pages/project/psd/1996/1314.shtml",76.0086213256416
"13220",2000-11-09,"Moldova","Post-Privatisation Power Distribution Loan","Power and energy","Private","C",NA,NA,NA,NA,NA,94.2,"
US$ 78.0 million (€94.2 million).
","http://www.ebrd.com/english/pages/project/psd/2000/13220.shtml",123.114108801415
"14561",2000-09-04,"Ukraine","Ukraine Fuel Purchase Loan Facility","Power and energy","Public","C",NA,NA,NA,NA,NA,111,"
The total loan will account for less than 10 per cent of the generating 
companies annual fuel requirements, but will serve to establish minimum 
inventory before the winter months make delivery difficult.
","http://www.ebrd.com/english/pages/project/psd/2000/14561.shtml",145.343968095713
"14644",2001-08-02,"Slovak Republic","Slovenske Elektrarne - Sector Restructuring Loan","Power and energy","Public","C",NA,NA,NA,NA,NA,190,"US$165 million (€190 million) ","http://www.ebrd.com/english/pages/project/psd/2001/14644.shtml",244.214876033058
"17829",2001-05-14,"Serbia","EPS: Emergency Power Sector Reconstruction Loan","Power and energy","Public","S",NA,NA,NA,NA,NA,100,"€100 million ","http://www.ebrd.com/english/pages/project/psd/2001/17829.shtml",128.296971670466
"2085",1997-08-28,"Ukraine","Lviv District Heating Project","Power and energy","Public","Cn",NA,NA,NA,NA,NA,40,"US$ 45 million (ECU 40 million equivalent).","http://www.ebrd.com/english/pages/project/psd/1997/2085.shtml",54.8937652385928
"22344",2004-02-18,"Bulgaria","Maritza east 2 TPP","Power and energy","Public","Cn",NA,NA,NA,NA,NA,80,"Approximately € 80 million.","http://www.ebrd.com/english/pages/project/psd/2004/22344.shtml",97.8679362450838
"23830",2002-04-09,"Albania","Albania Power Distribution Rehabilitation","Power and energy","Public","C",NA,NA,NA,NA,NA,27.8,"€27.8 million. The total PDTP cost is estimated at €200 million. The PDTP project as a whole involves various other sector upgrade components. These are being financed in a co-ordinated manner with the EBRD component by the European Investment Bank and the World Bank (IDA) as well as by concessional co-financing from the Japan Bank for International Cooperation, and the Swiss, Italian, and Spanish Governments. KESH will also contribute co-financing to the EBRD and other components.","http://www.ebrd.com/english/pages/project/psd/2002/23830.shtml",35.0240886804519
"2495",1997-10-15,"Azerbaijan","Mingechaur Power Project","Power and energy","Public","C",NA,NA,NA,NA,NA,40.94,"US$ 44.62 million (ECU 40.94 million).","http://www.ebrd.com/english/pages/project/psd/1997/2495.shtml",56.1316320612458
"2507",1997-09-26,"Kyrgyz Republic","Talas Transmission Network Improvement Project","Power and energy","Public","C",NA,NA,NA,NA,NA,27.7,"US$ 30.2 million (ECU 27.7 million).","http://www.ebrd.com/english/pages/project/psd/1997/2507.shtml",37.9786567683563
"25338",2002-06-07,"Russia","AO Mosenergo","Power and energy","Private","C",NA,NA,NA,NA,NA,74.6," US$ 70 million (€74.6 million). ","http://www.ebrd.com/english/pages/project/psd/2002/25338.shtml",93.8155122885413
"25438",2005-08-24,"Poland","Belchatow II","Power and energy","Public","C",NA,NA,NA,NA,NA,1600,"
Approximately EUR 1.6 billion. 
","http://www.ebrd.com/english/pages/project/psd/2005/25438.shtml",1886.48379052369
"2577",1997-07-24,"Russia","Mutnovsky Independent Power Plant","Power and energy","Public","C",NA,NA,NA,NA,NA,128.356,"US$ 150.176 million (ECU 128.356 million)","http://www.ebrd.com/english/pages/project/psd/1997/2577.shtml",176.496966030712
"26891",2005-08-16,"Azerbaijan","AZDRES Power Plant Rehabilitation","Power and energy","Public","S",NA,NA,NA,NA,232,187.123937345744,"The total project cost is 232 million USD excluding taxes and custom duties. This figure is revised from the original estimate of USD 140 million.","http://www.ebrd.com/english/pages/project/psd/2005/26891.shtml",220.628921230923
"26969",2002-09-27,"Slovak Republic","ZSE Electricity Distribution Privatisation","Power and energy","Private","C",NA,NA,NA,NA,NA,66," ","http://www.ebrd.com/english/pages/project/psd/2002/26969.shtml",82.8504672897196
"27005",2002-08-19,"Serbia","EPS Power II","Power and energy","Public","S",NA,NA,NA,NA,NA,60,"€60 million, including EPS contribution of €15 million. ","http://www.ebrd.com/english/pages/project/psd/2002/27005.shtml",75.5191140453626
"27768",2003-04-25,"FYR Macedonia","FYR Macedonia Transmission Interconnection","Power and energy","Public","S",NA,NA,NA,NA,NA,50,"€50 million.","http://www.ebrd.com/english/pages/project/psd/2003/27768.shtml",61.7103477080505
"27949",2002-06-21,"FYR Macedonia","ESM Pre-privatisation Share Purchase","Power and energy","Private","C",NA,NA,NA,NA,NA,45,"Up to €45 million.","http://www.ebrd.com/english/pages/project/psd/2002/27949.shtml",56.5911267156081
"28160",2002-11-15,"Russia","Lenenergo","Power and energy","Private","C",NA,NA,NA,NA,NA,60,"€60 million ","http://www.ebrd.com/english/pages/project/psd/2002/28160.shtml",75.1828686526026
"28275",2003-08-01,"Kazakhstan","KEGOC: North-South Power transmission","Power and energy","Public","C",NA,NA,NA,NA,89.5,79.3594495380305,"Approx. US$ 89.5 million","http://www.ebrd.com/english/pages/project/psd/2003/28275.shtml",97.8642356807512
"3056",1997-11-24,"Russia","Mosenergo","Power and energy","Private","C",NA,NA,NA,NA,NA,145,"US$ 160 million (ECU 145 million).","http://www.ebrd.com/english/pages/project/psd/1997/3056.shtml",198.620929424035
"3155",1996-10-30,"Bulgaria","Power Sector Refurbishment Project","Power and energy","Public","Cn",NA,NA,NA,NA,NA,210,"US$ 263 million (ECU 210 million).","http://www.ebrd.com/english/pages/project/psd/1996/3155.shtml",292.229809277137
"3211",1996-10-31,"Bosnia and Herzegovina","Emergency Power System Reconstruction Project","Power and energy","Public","C",NA,NA,NA,NA,NA,128,"The total project cost is US$ 160 million (ECU 128 million), the balance being provided by a concessional loan from the World Bank and grants from a number of donors, including the European Union, Austria, Belgium, Canada, the Czech Republic, France, Ireland, Japan, Norway, the Netherlands, Sweden, the UK, USA and the Central European Initiative.","http://www.ebrd.com/english/pages/project/psd/1996/3211.shtml",178.121026607017
"32170",2003-12-11,"Poland","Patnow II","Power and energy","Private","C",NA,NA,NA,NA,NA,540,"
€ 540 million
","http://www.ebrd.com/english/pages/project/psd/2003/32170.shtml",660.608569654316
"33354",2004-07-20,"Romania","National Power Transmission Co. ""Transelectrica"" SA","Power and energy","Public","S",NA,NA,NA,NA,NA,34,"€ 34 million. ","http://www.ebrd.com/english/pages/project/psd/2004/33354.shtml",41.0584389047814
"33833",2004-04-06,"Albania","Vlore Thermal Power Generation Project","Power and energy","Public","S",NA,NA,NA,NA,NA,100.5,"
€ 91-110 million
","http://www.ebrd.com/english/pages/project/psd/2004/33833.shtml",121.562627916496
"33896",2005-07-14,"Ukraine","Odessa High Voltage Grid Upgrade","Power and energy","Public","S",NA,NA,NA,NA,NA,25.8,"
Up to 25.8 million, plus local costs payable by Ukrenergo to be determined.
","http://www.ebrd.com/english/pages/project/psd/2005/33896.shtml",30.4956
"34838",2004-05-06,"Ukraine","K2R4 Post-start-up Safety and Modernisation Programme","Power and energy","Public","S",NA,NA,NA,NA,150,123.556448822919,"US$ 150 million","http://www.ebrd.com/english/pages/project/psd/2004/34838.shtml",148.948212868944
"34841",2006-01-18,"Armenia","Armenian Renewable Energy Programme","Power and energy","Private","S",NA,NA,NA,NA,15,12.3847189081632,"Total project cost is USD 15 million.","http://www.ebrd.com/english/pages/project/psd/2006/34841.shtml",14.5427556705742
"34982",2005-05-11,"Bulgaria","North-Eastern Bulgaria Electricity Distribution Companies","Power and energy","Private","C",NA,NA,NA,NA,NA,NA,"
To be confirmed.
","http://www.ebrd.com/english/pages/project/psd/2005/34982.shtml",NA
"34988",2004-05-05,"Russia","SYSTEM OPERATOR SCADA","Power and energy","Public","C",NA,NA,NA,NA,NA,88.4,"The estimated cost of the remaining project is EUR 88.4 million, including the estimated EUR 60 million cost of the supply and install contract with a new contractor. The new contract will be selected under EBRD procurement rules and will be financed by the Bank’s loan.","http://www.ebrd.com/english/pages/project/psd/2004/34988.shtml",106.566853646099
"35037",2004-02-23,"Slovak Republic","Slovenske Elektrarne Restructuring Loan II","Power and energy","Private","C",NA,NA,NA,NA,NA,350,"A commercial bank syndicate has been mandated to provide an unsecured re-financing facility of up to EUR 350 million, which will be made up of an EBRD tranche and a commercial bank tranche. ","http://www.ebrd.com/english/pages/project/psd/2004/35037.shtml",428.172221072242
"35549",2005-10-25,"Russia","Mosenergo Post Restructuring Loan","Power and energy","Private","C",NA,NA,NA,NA,NA,1240,"
Up to EUR 1.24 billion.
","http://www.ebrd.com/english/pages/project/psd/2005/35549.shtml",1450.88101366066
"35551",2005-06-27,"Kazakhstan","KEGOC: Ekibastuz-YukGres power transmission","Power and energy","Public","C",NA,NA,NA,NA,245.7,203.591226601924,"
Approx. USD 245.7 million. 
","http://www.ebrd.com/english/pages/project/psd/2005/35551.shtml",240.452468339329
"35806",2005-09-15,"Bosnia and Herzegovina","Power Distribution Reconstruction Project","Power and energy","Public","S",NA,NA,NA,NA,NA,60,"
The total project cost is 60 million Euros including taxes and custom duties.
","http://www.ebrd.com/english/pages/project/psd/2005/35806.shtml",70.385073441842
"36032",2007-08-03,"Bulgaria","Vez Svoghe mini hydro project","Power and energy","Private","S",NA,NA,NA,NA,NA,115.9,"Anticipated to be approximately EUR 115.9 million.","http://www.ebrd.com/english/pages/project/psd/2007/36032.shtml",131.333333333333
"36061",2005-09-29,"Russia","Russia - Federal Grid Company Modernisation Project","Power and energy","Public","C",NA,NA,NA,5000,NA,145.670667754341,"
RUB 5 billion.
","http://www.ebrd.com/english/pages/project/psd/2005/36061.shtml",170.884011091703
"36112",2005-08-31,"Albania","Power Transmission Substations Rehabilitation","Power and energy","Public","S",NA,NA,NA,NA,52.14,42.6475159089794,"
USD 52.14 million.
","http://www.ebrd.com/english/pages/project/psd/2005/36112.shtml",50.2836547750623
"36725",2006-03-16,"Russia","RusHydro (HydroOGK) - Modernization Loan","Power and energy","Public","C",NA,NA,NA,11400,NA,340.318825004478,"
RUB 11.4 billion.
","http://www.ebrd.com/english/pages/project/psd/2006/36725.shtml",396.195066630553
"37544",2006-11-02,"Russia","OGK-5","Power and energy","Private","S",NA,NA,NA,NA,459,360.101675767275,"USD 459 million.","http://www.ebrd.com/english/pages/project/psd/2006/37544.shtml",414.692304201091
"37598",2007-07-13,"Ukraine","Rivne Kyiv High Voltage Line Project","Power and energy","Public","S",NA,NA,NA,NA,NA,452,"Up to EUR 452 million.","http://www.ebrd.com/english/pages/project/psd/2007/37598.shtml",512.48345323741
"37685",2007-06-21,"FYR Macedonia","ESM  II: Distribution Grid Efficiency Investment","Power and energy","Private","S",NA,NA,NA,NA,NA,90,"EUR 90 million.","http://www.ebrd.com/english/pages/project/psd/2007/37685.shtml",101.799043062201
"37696",2008-05-09,"Romania","Turceni Rehabilitation","Power and energy","Public","Cn",NA,NA,NA,NA,NA,224,"Approximately EUR 224 million.","http://www.ebrd.com/english/pages/project/psd/2008/37696.shtml",244.634574517232
"37972",2007-07-02,"Bosnia and Herzegovina","ISO & TRANSCO Loan Novation Project (ref 12413)","Power and energy","Public","S",NA,NA,NA,NA,NA,272,"
Approximately US$ 231 million (€272 million). 
","http://www.ebrd.com/english/pages/project/psd/2007/37972.shtml",308.397122302158
"38016",2008-03-13,"Russia","OGK-5","Power and energy","Private","S",NA,NA,NA,NA,NA,175,"EUR 175 million","http://www.ebrd.com/english/pages/project/psd/2008/38016.shtml",192.939091502658
"38134",2006-09-21,"Romania","E.ON Energie Romania","Power and energy","Private","C",NA,NA,NA,NA,NA,11,"
Approximately EUR 11million
","http://www.ebrd.com/english/pages/project/psd/2006/38134.shtml",12.6824034334764
"38145",2007-09-28,"Kazakhstan","Pavlodar Energo","Power and energy","Private","S",NA,NA,NA,NA,64.1,45.3314286118399,"Approximately USD 64.1 million.","http://www.ebrd.com/english/pages/project/psd/2007/38145.shtml",51.1715682150702
"38241",2007-10-24,"Russia","TGK-9 Expansion and Privatisation","Power and energy","Private","C",NA,NA,NA,NA,200,140.541224254604,"USD 200 million.","http://www.ebrd.com/english/pages/project/psd/2007/38241.shtml",157.878470602547
"38344",2012-01-20,"Mongolia","Salkhit Wind Park Project (Debt)","Power and energy","Private","S",NA,NA,NA,NA,115,89.4774516821761,"US$ 115 million.","http://www.ebrd.com/english/pages/project/psd/2012/38344.shtml",93.2401906585559
"38396",2007-08-14,"Regional","EnerCap renewable energy financing vehicle","Power and energy","Private","S",NA,NA,NA,NA,NA,100,"Maximum fund size is EUR 100 million.","http://www.ebrd.com/english/pages/project/psd/2007/38396.shtml",113.316077077941
"38647",2008-03-19,"Kazakhstan","KEGOC Modernisation II Loan","Power and energy","Public","S",NA,NA,NA,NA,NA,292,"EUR 292 million.","http://www.ebrd.com/english/pages/project/psd/2008/38647.shtml",321.932655535864
"38700",2008-09-24,"Russia","OGK-5 Capacity Replacement","Power and energy","Private","S",NA,NA,NA,NA,NA,409,"RUB 15.0 billion (EUR 409 million)","http://www.ebrd.com/english/pages/project/psd/2008/38700.shtml",445.482860302248
"38714",2009-06-22,"Russia","LUKOIL/TGK-8 Energy Efficiency Loan","Power and energy","Private","Cn",NA,NA,NA,NA,NA,333,"RUB 15 billion (EUR 333 million).","http://www.ebrd.com/english/pages/project/psd/2009/38714.shtml",362.837389380531
"38721",2008-04-23,"Estonia","Iberdrola Estonia Wind","Power and energy","Private","C",NA,NA,NA,NA,NA,NA,"Confidential.","http://www.ebrd.com/english/pages/project/psd/2008/38721.shtml",NA
